glottocode,name,level,latitude,longitude
musk1252,Muskogean,family,,
cree1270,Creek,language,31.0,-87.5
semi1265,Seminole,dialect,,
nucl1645,Nuclear Creek,dialect,,
mika1239,Mikasuki,language,31.5,-84.0
hitc1239,Hitchiti,dialect,,
nucl1245,Nuclear Mikasuki,dialect,,
alab1247,Alabaman-Koasati,family,,
apal1237,Apalachee,language,30.118,-84.416
koas1236,Koasati,language,30.4096,-92.709
alab1237,Alabama,language,30.76738,-94.62848
west2614,Western Muskogean,family,,
choc1276,Choctaw,language,32.25,-88.5
chic1270,Chickasaw,language,34.0,-88.0
maba1274,Maban,family,,
maba1275,Mabang,family,,
rung1257,Runga-Kibet,family,,
kibe1241,Kibet,language,11.32054,20.87674
dage1243,Dagel,dialect,,
nucl1439,Nuclear Kibet,dialect,,
murr1262,Murru,dialect,,
rung1258,Runga,language,9.7154,20.9945
maba1276,Maba-Masalit,family,,
masa1301,Macro-Masalit,family,,
mass1262,Massalat,language,13.5157,19.7348
surb1238,Surbakhal,language,13.1331,21.6243
nucl1440,Masalit,language,13.2733,22.1752
west2497,Western Masalit,dialect,,
nort2818,Northern Masalit,dialect,,
sout2839,Southern Masalit,dialect,,
nyal1251,Nyala,dialect,,
darf1238,Dar Fur,dialect,,
nucl1441,Macro-Maba,family,,
marf1238,Marfa,language,13.1568,20.7882
maba1277,Maba (Chad),language,12.89147,20.8889
abka1238,Abkar,dialect,,
mala1389,Malanga,dialect,,
kuji1238,Kujinga,dialect,,
kaja1248,Kajanga,dialect,,
nyab1256,Nyabadan,dialect,,
oule1238,Ouled Djemma,dialect,,
mand1428,Mandala,dialect,,
mand1429,Mandaba,dialect,,
dond1248,Dondongo,dialect,,
kodo1238,Kodoo,dialect,,
keli1249,Kelingan,dialect,,
kend1253,Kendeje,language,13.24447,21.53955
fara1237,Faranga,dialect,,
yaal1238,Yaali,dialect,,
kara1484,Karanga,language,13.1748,20.6354
koni1260,Koniéré,dialect,,
bakh1247,Bakha,dialect,,
nucl1442,Nuclear Karanga,dialect,,
kash1279,Kashmere,dialect,,
mimi1241,Mimi-Nachtigal,language,14.302046,20.724106
guri1248,Guriaso,language,-3.5718,141.597
pawa1255,Pawaia,language,-6.88021,145.081
aura1242,Aurama,dialect,,
haur1243,Hauruha,dialect,,
bora1262,Boran,family,,
bora1263,Bora,language,-2.000259,-72.257066
mira1254,Miraña,dialect,,
nucl1660,Nuclear Bora,dialect,,
muin1242,Muinane,language,-0.8652,-72.4249
guam1236,Guamo,language,8.2351027,-67.4018753
sanj1287,San José Guamo,dialect,,
sant1461,Santa Rosa Guamo,dialect,,
rash1249,Rashad,family,,
tago1246,Tagoi,language,12.0346,30.9306
tuma1247,Tumale,dialect,,
more1254,Moreb,dialect,,
orig1235,Orig,dialect,,
nucl1449,Goy,dialect,,
tega1236,Tegali,language,11.9523,31.1112
rash1248,Rashad Town-Hills,dialect,,
nucl1243,Nuclear Tegali,dialect,,
dama1272,Damal,language,-4.17345,137.496
nucl1638,Nuclear Damal,dialect,,
amon1239,Amongme,dialect,,
engg1246,Enggipilu,dialect,,
amun1245,Amung,dialect,,
puqu1242,Puquina,language,-15.8992,-69.9611
kusu1250,Kusunda,language,28.33,82.6
mirn1241,Mirndi,family,,
djam1254,Yirram,family,,
djam1255,Jaminjung-Ngaliwurru,language,-15.0558,130.06
jami1236,Jaminjung,dialect,,
ngal1294,Ngaliwurru,dialect,-15.78944,130.8759
nung1291,Nungali,language,-14.9109,131.641
djin1251,Jingulu,language,-17.165,133.659
